anime_name;anime_url;image_path;created_at;updated_at
Haiyore! Nyaruko-san;https://animem.org/haiyore-nyaruko-san;/img/anime_80.jpg;2022-06-02;2022-06-02
Hajimete no Gal;https://animem.org/hajimete-no-gal;/img/anime_81.jpg;2022-06-02;2022-06-02
Hamatora The Animation;https://animem.org/hamatora-the-animation;/img/anime_82.jpg;2022-06-02;2022-06-02
Hanebado!;https://animem.org/hanebado;/img/anime_83.jpg;2022-06-02;2022-06-02
Hataage! Kemono Michi;https://animem.org/hataage-kemono-michi;/img/anime_84.jpg;2022-06-02;2022-06-02
Harukana Receive;https://animem.org/harukana-receive;/img/anime_85.jpg;2022-06-02;2022-06-02
Happy Sugar Life;https://animem.org/Happy_Sugar_Life;/img/anime_86.jpg;2022-06-02;2022-06-02
Hataraku Maou-sama!;https://animem.org/hataraku-maou-sama;/img/anime_87.jpg;2022-06-02;2022-06-02
Hataraku Saibou (TV);https://animem.org/hataraku-saibou-tv;/img/anime_88.jpg;2022-06-02;2022-06-02
Heion Sedai no Idaten-tachi;https://animem.org/heion-sedai-no-idaten-tachi;/img/anime_89.jpg;2022-06-02;2022-06-02
Healer Girl;https://animem.org/Healer_Girl;/img/anime_90.jpg;2022-06-02;2022-06-02
Hellsing;https://animem.org/hellsing;/img/anime_91.jpg;2022-06-02;2022-06-02
Heroine Tarumono! Kiraware Heroine to Naisho no Oshigoto;https://animem.org/Heroine_Tarumono_Kiraware_Heroine_to_Naisho_no_Oshigoto;/img/anime_92.jpg;2022-06-02;2022-06-02
Hidan no Aria;https://animem.org/hidan-no-aria;/img/anime_93.jpg;2022-06-02;2022-06-02
Hibike! Euphonium;https://animem.org/hibike-euphonium;/img/anime_94.jpg;2022-06-02;2022-06-02
High School DxD;https://animem.org/High_School_DxD;/img/anime_95.jpg;2022-06-02;2022-06-02
High School Fleet;https://animem.org/high-school-fleet;/img/anime_96.jpg;2022-06-02;2022-06-02
High Score Girl;https://animem.org/High_Score_Girl;/img/anime_97.jpg;2022-06-02;2022-06-02
Highschool of the Dead;https://animem.org/highschool-of-the-dead;/img/anime_98.jpg;2022-06-02;2022-06-02
Himouto! Umaru-chan;https://animem.org/himouto-umaru-chan;/img/anime_99.jpg;2022-06-02;2022-06-02
Horimiya;https://animem.org/horimiya;/img/anime_100.jpg;2022-06-02;2022-06-02
Hortensia Saga (TV);https://animem.org/hortensia-saga-tv;/img/anime_101.jpg;2022-06-02;2022-06-02
Hundred;https://animem.org/hundred;/img/anime_102.jpg;2022-06-02;2022-06-02
Hyakuren no Haou to Seiyaku no Valkyria;https://animem.org/hyakuren-no-haou-to-seiyaku-no-valkyria;/img/anime_103.jpg;2022-06-02;2022-06-02
Hyakka Ryouran: Samurai Girls;https://animem.org/hyakka-ryouran-samurai-girls;/img/anime_104.jpg;2022-06-02;2022-06-02
Hyouka;https://animem.org/hyouka;/img/anime_105.jpg;2022-06-02;2022-06-02
Ichiban Ushiro no Daimaou;https://animem.org/ichiban-ushiro-no-daimaou;/img/anime_106.jpg;2022-06-03;2022-06-03
IDOLiSH7;https://animem.org/idolish7;/img/anime_107.jpg;2022-06-03;2022-06-03
Idoly Pride;https://animem.org/idoly-pride;/img/anime_108.jpg;2022-06-03;2022-06-03
Ijiranaide, Nagatoro-san;https://animem.org/ijiranaide-nagatoro-san;/img/anime_109.jpg;2022-06-03;2022-06-03
Ikkitousen;https://animem.org/ikkitousen;/img/anime_110.jpg;2022-06-03;2022-06-03
Imawa no Kuni no Alice;https://animem.org/imawa-no-kuni-no-alice;/img/anime_111.jpg;2022-06-03;2022-06-03
Infinite Dendrogram;https://animem.org/infinite-dendrogram;/img/anime_112.jpg;2022-06-03;2022-06-03
Inu to Hasami wa Tsukaiyou;https://animem.org/inu-to-hasami-wa-tsukaiyou;/img/anime_113.jpg;2022-06-03;2022-06-03
Inu x Boku SS;https://animem.org/inu-x-boku-ss;/img/anime_114.jpg;2022-06-03;2022-06-03
InuYasha;https://animem.org/inuyasha;/img/anime_115.jpg;2022-06-03;2022-06-03
Irodorimidori;https://animem.org/Irodorimidori;/img/anime_116.jpg;2022-06-03;2022-06-03
IS: Infinite Stratos;https://animem.org/is-infinite-stratos;/img/anime_117.jpg;2022-06-03;2022-06-03
Isekai Cheat Magician;https://animem.org/isekai-cheat-magician;/img/anime_118.jpg;2022-06-03;2022-06-03
Isekai Izakaya: Koto Aitheria no Izakaya Nobu;https://animem.org/isekai-izakaya-koto-aitheria-no-izakaya-nobu;/img/anime_119.jpg;2022-06-03;2022-06-03
"	Isekai Maou to Shoukan Shoujo Dorei Majutsu";https://animem.org/isekai-maou-to-shoukan-shoujo-dorei-majutsu;/img/anime_120.jpg;2022-06-03;2022-06-03
Isekai Quartet;https://animem.org/isekai-quartet;/img/anime_121.jpg;2022-06-03;2022-06-03
Isekai wa Smartphone to Tomo ni;https://animem.org/isekai-wa-smartphone-to-tomo-ni;/img/anime_122.jpg;2022-06-03;2022-06-03
Ishuzoku Reviewers;https://animem.org/ishuzoku-reviewers;/img/anime_123.jpg;2022-06-03;2022-06-03
Island;https://animem.org/island;/img/anime_124.jpg;2022-06-03;2022-06-03
"	Isuca";https://animem.org/isuca;/img/anime_125.jpg;2022-06-03;2022-06-03
Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu;https://animem.org/itai-no-wa-iya-nano-de-bougyoryoku-ni-kyokufuri-shitai-to-omoimasu;/img/anime_126.jpg;2022-06-03;2022-06-03
Itou Junji: Collection;https://animem.org/itou-junji-collection;/img/anime_127.jpg;2022-06-03;2022-06-03
Iwa Kakeru!: Sport Climbing Girls;https://animem.org/iwa-kakeru-sport-climbing-girls;/img/anime_128.jpg;2022-06-03;2022-06-03
Iya na Kao sare nagara Opantsu Misete Moraitai;https://animem.org/iya-na-kao-sare-nagara-opantsu-misete-moraitai;/img/anime_129.jpg;2022-06-03;2022-06-03
Itazura na Kiss;https://animem.org/itazura-na-kiss;/img/anime_130.jpg;2022-06-03;2022-06-03
Jahy-sama wa Kujikenai!;https://animem.org/jahy-sama-wa-kujikenai;/img/anime_131.jpg;2022-06-03;2022-06-03
Jaku-Chara Tomozaki-kun;https://animem.org/jaku-chara-tomozaki-kun;/img/anime_132.jpg;2022-06-03;2022-06-03
Jantama Pong☆;https://animem.org/Jantama_Pong%E2%98%86;/img/anime_133.jpg;2022-06-03;2022-06-03
Jashin-chan Dropkick;https://animem.org/jashin-chan-dropkick;/img/anime_134.jpg;2022-06-03;2022-06-03
Jibaku shounen Hanako-kun;https://animem.org/jibaku-shounen-hanako-kun;/img/anime_135.jpg;2022-06-03;2022-06-03
Jie Mo Ren;https://animem.org/jie-mo-ren;/img/anime_136.jpg;2022-06-03;2022-06-03
Jigoku Shoujo;https://animem.org/jigoku-shoujo;/img/anime_137.jpg;2022-06-03;2022-06-03
Jikan no Shihaisha;https://animem.org/jikan-no-shihaisha;/img/anime_138.jpg;2022-06-03;2022-06-03
Jitsu wa Watashi wa;https://animem.org/jitsu-wa-watashi-wa;/img/anime_139.jpg;2022-06-03;2022-06-03
Joshikousei no Mudazukai;https://animem.org/joshikousei-no-mudazukai;/img/anime_140.jpg;2022-06-03;2022-06-03
Jujutsu Kaisen;https://animem.org/jujutsu-kaisen;/img/anime_141.jpg;2022-06-03;2022-06-03
Juuni Taisen;https://animem.org/juuni-taisen;/img/anime_142.jpg;2022-06-03;2022-06-03
Kamisama ni Natta Hi;https://animem.org/kamisama-ni-natta-hi;/img/anime_143.jpg;2022-06-07;2022-06-07
Kamisama no Inai Nichiyoubi;https://animem.org/kamisama-no-inai-nichiyoubi;/img/anime_144.jpg;2022-06-07;2022-06-07
Kämpfer;https://animem.org/kampfer;/img/anime_145.jpg;2022-06-07;2022-06-07
Kanata no Astra;https://animem.org/kanata-no-astra;/img/anime_146.jpg;2022-06-07;2022-06-07
Kanojo ga Flag wo Oraretara;https://animem.org/kanojo-ga-flag-wo-oraretara;/img/anime_147.jpg;2022-06-07;2022-06-07
Kanojo mo Kanojo;https://animem.org/kanojo-mo-kanojo;/img/anime_148.jpg;2022-06-07;2022-06-07
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunouseni series;https://animem.org/Kaguya-sama_wa_Kokurasetai_series;/img/anime_149.jpg;2022-06-07;2022-06-07
Kai Byoui Ramune;https://animem.org/kai-byoui-ramune;/img/anime_150.jpg;2022-06-07;2022-06-07
Kaichou wa Maid-sama!;https://animem.org/kaichou-wa-maid-sama;/img/anime_151.jpg;2022-06-07;2022-06-07
Kaifuku Jutsushi no Yarinaoshi;https://animem.org/kaifuku-jutsushi-no-yarinaoshi;/img/anime_152.jpg;2022-06-07;2022-06-07
Kaijin Kaihatsu-bu no Kuroitsu-san;https://animem.org/Kaijin_Kaihatsu-bu_no_Kuroitsu-san;/img/anime_153.jpg;2022-06-07;2022-06-07
Kakegurui;https://animem.org/kakegurui;/img/anime_154.jpg;2022-06-07;2022-06-07
Kaizoku Oujo;https://animem.org/kaizoku-oujo;/img/anime_155.jpg;2022-06-07;2022-06-07
Kakkou no Iinazuke;https://animem.org/Kakkou_no_Iinazuke;/img/anime_156.jpg;2022-06-07;2022-06-07
Kaleido Star;https://animem.org/kaleido-star;/img/anime_157.jpg;2022-06-07;2022-06-07
Kami no Tou;https://animem.org/kami-no-tou;/img/anime_158.jpg;2022-06-07;2022-06-07
Kami-tachi ni Hirowareta Otoko;https://animem.org/kami-tachi-ni-hirowareta-otoko;/img/anime_159.jpg;2022-06-07;2022-06-07
Kamisama Hajimemashita;https://animem.org/kamisama-hajimemashita;/img/anime_160.jpg;2022-06-07;2022-06-07
K-On!;https://animem.org/k-on;/img/anime_161.jpg;2022-06-07;2022-06-07
Kanojo, Okarishimasu;https://animem.org/kanojo-okarishimasu;/img/anime_162.jpg;2022-06-07;2022-06-07
Kanokon;https://animem.org/kanokon;/img/anime_163.jpg;2022-06-07;2022-06-07
Karakai Jouzu no Takagi-san;https://animem.org/karakai-jouzu-no-takagi-san;/img/anime_164.jpg;2022-06-07;2022-06-07
Karakuri Circus (TV);https://animem.org/karakuri-circus;/img/anime_165.jpg;2022-06-07;2022-06-07
Katanagatari;https://animem.org/katanagatari;/img/anime_166.jpg;2022-06-07;2022-06-07
Kateikyoushi Hitman Reborn!;https://animem.org/kateikyoushi-hitman-reborn;/img/anime_167.jpg;2022-06-07;2022-06-07
Katsute Kami Datta Kemono-tachi e;https://animem.org/katsute-kami-datta-kemono-tachi-e;/img/anime_168.jpg;2022-06-07;2022-06-07
Kawaii dake ja Nai Shikimori-san;https://animem.org/Kawaii_dake_ja_Nai_Shikimori-san;/img/anime_169.jpg;2022-06-07;2022-06-07
Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?;https://animem.org/kawaikereba-hentai-demo-suki-ni-natte-kuremasu-ka;/img/anime_170.jpg;2022-06-07;2022-06-07
Keijo!!!!!!!!;https://animem.org/keijo;/img/anime_171.jpg;2022-06-07;2022-06-07
Kekkai Sensen;https://animem.org/kekkai-sensen;/img/anime_172.jpg;2022-06-07;2022-06-07
Kemono Jihen;https://animem.org/kemono-jihen;/img/anime_173.jpg;2022-06-07;2022-06-07
Ken En Ken: Aoki Kagayaki;https://animem.org/ken-en-ken-aoki-kagayaki;/img/anime_174.jpg;2022-06-07;2022-06-07
Kenja no Deshi wo Nanoru Kenja;https://animem.org/kenja-no-deshi-wo-nanoru-kenja;/img/anime_175.jpg;2022-06-07;2022-06-07
Kenja no Mago;https://animem.org/kenja-no-mago;/img/anime_176.jpg;2022-06-07;2022-06-07
Kill la Kill;https://animem.org/kill-la-kill;/img/anime_177.jpg;2022-06-07;2022-06-07
Killing Bites;https://animem.org/killing-bites;/img/anime_178.jpg;2022-06-07;2022-06-07
Kimetsu no Yaiba;https://animem.org/kimetsu-no-yaiba;/img/anime_179.jpg;2022-06-07;2022-06-07
Kimi ni Todoke;https://animem.org/kimi-ni-todoke;/img/anime_180.jpg;2022-06-07;2022-06-07
Kimi no Iru Machi;https://animem.org/kimi-no-iru-machi;/img/anime_181.jpg;2022-06-07;2022-06-07
Kimi no Na wa;https://animem.org/kimi-no-na-wa;/img/anime_182.jpg;2022-06-07;2022-06-07
Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen;https://animem.org/kimi-to-boku-no-saigo-no-senjou-aruiwa-sekai-ga-hajimaru-seisen;/img/anime_183.jpg;2022-06-07;2022-06-07
Kimi wa Kanata;https://animem.org/kimi-wa-kanata;/img/anime_184.jpg;2022-06-07;2022-06-07
King's Raid: Ishi wo Tsugumono-tachi;https://animem.org/kings-raid-ishi-wo-tsugumono-tachi;/img/anime_185.jpg;2022-06-07;2022-06-07
Kingdom Series;https://animem.org/Kingdom_Series;/img/anime_186.jpg;2022-06-07;2022-06-07
Kiniro Mosaic;https://animem.org/kiniro-mosaic;/img/anime_187.jpg;2022-06-07;2022-06-07
